hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,262144,8,8,cpu,8.0,10,300.3492595,312.8936096,44.2778118432793,281.7483932,332.6546711,17.902210921049118,True,0.14151075792146603
NVIDIA GeForce GTX 1660 Ti,262144,8,8,eager-host-visible,,10,73.007074,74.5285902,3.537912074265641,72.8159231,78.3465732,4.351560711860657,True,0.04747053533109286
NVIDIA GeForce GTX 1660 Ti,262144,8,8,eager-resident,,10,57.6371455,57.6344849,0.039033143220289356,57.5964237,57.680516399999995,3.4354415833950043,True,0.0006772532675188246
NVIDIA GeForce GTX 1660 Ti,262144,8,8,graph-resident,,10,57.5400775,57.542762200000006,0.03324859251423434,57.507878500000004,57.578862699999995,3.4296558797359467,True,0.0005778066822491593
NVIDIA GeForce GTX 1660 Ti,262144,32,1,cpu,1.0,10,1841.1009635,1844.7729232999998,44.959377422456505,1793.3416977,1909.4425694000001,109.73816892504692,True,0.024371225777767524
NVIDIA GeForce GTX 1660 Ti,262144,32,1,cpu,8.0,10,942.2626445000001,963.0052398,118.86571426756404,856.8269842000001,1049.6867537,56.16323021054268,True,0.12343205348732106
NVIDIA GeForce GTX 1660 Ti,262144,32,1,eager-host-visible,,10,134.5953775,134.7854535,0.38925180627804234,134.4506797,135.20741170000002,8.022509664297104,True,0.002887936317831526
NVIDIA GeForce GTX 1660 Ti,262144,32,1,eager-resident,,10,118.69819749999999,118.7101458,0.041988078744114574,118.6705075,118.76065609999999,7.0749638974666595,True,0.000353702528635211
NVIDIA GeForce GTX 1660 Ti,262144,32,1,graph-resident,,10,118.635199,118.64831269999999,0.07442732530768383,118.5814883,118.75017,7.071208894252777,True,0.0006272935839877631
NVIDIA GeForce GTX 1660 Ti,262144,32,8,cpu,1.0,10,2001.560072,2000.7287068,9.720041340785002,1987.7544527999999,2011.3225997,119.30227708816528,True,0.004858250550286452
NVIDIA GeForce GTX 1660 Ti,262144,32,8,cpu,8.0,10,1280.28706,1705.6391014,863.2544480421412,858.5122433,2726.2848659,76.31105542182922,True,0.5061178811705103
